,15.03.2026,,,,,,
Тип рекламной кампании,Единая ставка,,,Руч. Поиск,Руч. Полки,Общая,Органика
Зоны показов,Поиск,Полки,Каталог,Поиск,Полки,Общая,Органика
Доля трафика (%),92%,8%,,,,-,-
Затраты (руб),4 468,410,6 115,,,10 993,-
Показы ,30 227,2 722,41 323,,,74 272,-
CTR,"3,25","1,29","4,29",,,-,-
CPM,148,151,148,,,-,-
CPC,"4,5","11,7","3,4",,,-,-
Клики ,983,35,1 773,,,4 101,1 310
Корзины ,108,5,275,,,491,103
Конверсия в корзину,,,,,,12%,
Заказы,37,4,121,,,191,29
Конверсия в заказ,,,,,,39%,
Заказы (руб.),123 950,13 400,405 350,,,697 469,154 769
Выкупы ≈ (руб.),35 946,3 886,117 552,,,202 266,-
Стоимость заказа,"120,8","102,5","50,5",,,"57,6",-
Стоимость корзины,"41,4","82,0","22,2",,,"22,4",-
ДРР от заказов (%),"3,6%","3,1%","1,5%",,,"1,6%",-
ДРР от продаж ≈ (%),"12,4%","10,5%","5,2%",,,"5,4%",-
"прибыль (без налогов, костов вне ВБ и возвратов)",-9 993,,,,,,
Процент выкупа %,29%,,,,,,
Себестоимость,700,,,,,,
Логистика,217,,,,,,
,Остатки:,,,,,,
,Остатки на складах WB,,,0,,,
,Едут к клиенту,,,0,,,
,Возвращаются на склад,,,0,,,
,Ср. кол-во заказов/день,,,#REF!,,,
,Ср. убыль остатков/день,,,"0,00",,,
,Дней до АУТА,,,#DIV/0!,,,
,ТУТ БЫЛ СКРИНШОТ С ОСТАТКАМИ,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Ключи,Частота,Позиция ОРГАНИЧЕСКАЯ,,Позиция БУСТОВАЯ,,CTR (%),
мужские классические брюки,238845,36,,36,,"6,0%",
брюки мужские черные,34703,700,,115,,"6,0%",
штаны бананы мужские,36457,36,,36,,"6,0%",
,Обзор:,,,,,,
,СПП,,"14,00%",,Упал на,,"5,00%"
,Цена WBSELLER (наша),,,,р.1 625,,
,Цена WB (на сайте),,,,р.1 393,,
,Акция,,,,Не участвуем,,
,Негативные отзывы,,,,Без изменений,,
,Действия:,,,,,,
,Включили рекламу?,,,Да,,р.10 000,
,Меняли цену?(WBSeller),,,Повысили,,р.50,
,Комментарии:,,,,,,
